Player_clean,Career_Arc,Perf_Tier,Seasons_Played,Avg_PPG,Injury_Count,Avg_Injury_Days,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press
david johnson,Early (1–3 yrs),Bottom 25%,1,0.0,0,,0.075,8.25,8.5,202.8,12.02,3.2,3.03,33.0,39.0,
david lee,Late (8+ yrs),50–75%,8,0.21517934478677087,5,234.6,,,,229.5,10.8,,3.19,30.5,32.5,14.0
david roddy,Early (1–3 yrs),Bottom 25%,3,0.11170274170274169,0,,0.116,8.75,10.0,260.8,10.75,3.1,3.22,27.0,35.5,
david west,Late (8+ yrs),25–50%,9,0.17076110917442577,4,266.0,0.08,,,226.0,12.18,,3.43,28.5,31.5,11.0
davion mitchell,Mid (4–7 yrs),Bottom 25%,4,0.1009253003003003,2,229.5,0.062,8.25,8.75,202.4,,,,,,
davon reed,Mid (4–7 yrs),Bottom 25%,4,0.10084025470653378,1,12.0,0.065,9.25,9.5,206.2,11.37,3.21,3.34,28.5,36.0,12.0
dayron sharpe,Mid (4–7 yrs),25–50%,4,0.14028551912568304,2,20.0,,,,,,,,,,
deandre bembry,Mid (4–7 yrs),Bottom 25%,6,0.11853525189220089,5,9.6,0.07,8.0,9.25,206.6,10.9,2.87,3.17,32.0,38.0,
deandre hunter,Mid (4–7 yrs),Top 25%,6,0.3115670256259652,5,94.6,,,,,,,,,,
deandre jordan,Late (8+ yrs),Bottom 25%,16,0.12221081736101225,3,739.6666666666666,0.075,,,250.0,12.3,,3.27,26.0,30.5,8.0
deanthony melton,Mid (4–7 yrs),Top 25%,7,0.3842218047342159,4,164.5,0.052,8.5,9.5,193.2,11.48,3.33,3.23,31.0,36.5,1.0
dejuan blair,Mid (4–7 yrs),Bottom 25%,6,0.0970202834360847,1,6.0,0.12,,,276.6,11.5,,3.45,26.0,33.0,18.0
delon wright,Late (8+ yrs),Bottom 25%,10,0.12149030249775436,4,50.5,0.066,8.0,8.5,181.4,11.16,3.5,3.29,29.5,31.0,4.0
delonte west,Early (1–3 yrs),50–75%,3,0.19939393939393937,3,15.333333333333334,0.067,,,183.0,11.2,,3.15,30.0,35.0,12.0
demar derozan,Late (8+ yrs),Top 25%,16,0.28950104755525635,8,363.25,0.049,,,211.2,11.88,,3.31,29.0,38.5,5.0
demarcus cousins,Late (8+ yrs),Top 25%,11,0.33407564710141907,4,196.0,0.164,9.25,10.0,291.8,11.4,,3.55,23.5,27.5,
demarre carroll,Late (8+ yrs),25–50%,11,0.16047880048611224,9,30.77777777777778,0.063,,,207.2,,,,,,
demetrius jackson,Early (1–3 yrs),Top 25%,3,0.36333333333333334,3,19.333333333333332,0.065,8.25,9.0,193.8,10.81,2.87,3.25,37.5,43.5,
denzel valentine,Mid (4–7 yrs),25–50%,5,0.12730042971554006,1,2.0,0.092,8.5,9.75,210.4,10.51,3.22,3.46,27.0,32.0,
dereck lively,Early (1–3 yrs),50–75%,2,0.2008333333333333,0,,,,,,,,,,,
deron williams,Late (8+ yrs),50–75%,8,0.24785266530586286,6,82.0,,,,202.4,10.83,,3.25,30.0,35.0,15.0
derrick brown,Early (1–3 yrs),Bottom 25%,3,0.08668704728855105,2,1.0,0.086,,,224.6,11.26,,3.13,30.5,35.5,20.0
derrick favors,Late (8+ yrs),25–50%,12,0.15869577976550214,7,154.57142857142858,0.065,8.75,9.25,245.2,11.74,,3.25,31.5,35.5,14.0
derrick rose,Late (8+ yrs),Top 25%,14,0.4248783608366942,11,65.9090909090909,0.046,,,196.0,11.69,,3.05,34.5,40.0,10.0
