Player,Team,Year,Round Number,Round Pick
Caris LeVert,Indiana Pacers,2016,1,20
DeAndre' Bembry,Atlanta Hawks,2016,1,21
Malachi Richardson,Charlotte Hornets,2016,1,22
Ante Zizic,Boston Celtics,2016,1,23
Timothe Luwawu-Cabarrot,Philadelphia 76ers,2016,1,24
Brice Johnson,LA Clippers,2016,1,25
Furkan Korkmaz,Philadelphia 76ers,2016,1,26
Pascal Siakam,Toronto Raptors,2016,1,27
Skal Labissiere,Sacramento Kings,2016,1,28
Dejounte Murray,San Antonio Spurs,2016,1,29
Damian Jones,Golden State Warriors,2016,1,30
Deyonta Davis,Boston Celtics,2016,2,1
Ivica Zubac,Los Angeles Lakers,2016,2,2
Cheick Diallo,LA Clippers,2016,2,3
Tyler Ulis,Phoenix Suns,2016,2,4
Rade Zagorac,Boston Celtics,2016,2,5
Malcolm Brogdon,Milwaukee Bucks,2016,2,6
Chinanu Onuaku,Houston Rockets,2016,2,7
Patrick McCaw,Golden State Warriors,2016,2,8
David Michineau,New Orleans Pelicans,2016,2,9
Diamond Stone,New Orleans Pelicans,2016,2,10
Stephen Zimmerman,Orlando Magic,2016,2,11
Isaiah Whitehead,Brooklyn Nets,2016,2,12
Zhou Qi,Houston Rockets,2016,2,13
Isaia Cordinier,Atlanta Hawks,2016,2,14
Demetrius Jackson,Boston Celtics,2016,2,15
AJ Hammons,Dallas Mavericks,2016,2,16
Jake Layman,Orlando Magic,2016,2,17
Paul Zipser,Chicago Bulls,2016,2,18
Michael Gbinije,Detroit Pistons,2016,2,19
Georges Niang,Indiana Pacers,2016,2,20
Karl-Anthony Towns,Minnesota Timberwolves,2015,1,1
D'Angelo Russell,Los Angeles Lakers,2015,1,2
Jahlil Okafor,Philadelphia 76ers,2015,1,3
Kristaps Porziņģis,New York Knicks,2015,1,4
Mario Hezonja,Orlando Magic,2015,1,5
Willie Cauley-Stein,Sacramento Kings,2015,1,6
Emmanuel Mudiay,Denver Nuggets,2015,1,7
Stanley Johnson,Detroit Pistons,2015,1,8
Frank Kaminsky,Charlotte Hornets,2015,1,9
Justise Winslow,Miami Heat,2015,1,10
Myles Turner,Indiana Pacers,2015,1,11
Trey Lyles,Utah Jazz,2015,1,12
Devin Booker,Phoenix Suns,2015,1,13
Cameron Payne,Oklahoma City Thunder,2015,1,14
Kelly Oubre Jr.,Atlanta Hawks,2015,1,15
Terry Rozier,Boston Celtics,2015,1,16
Rashad Vaughn,Milwaukee Bucks,2015,1,17
Sam Dekker,Houston Rockets,2015,1,18
Jerian Grant,Washington Wizards,2015,1,19
Delon Wright,Toronto Raptors,2015,1,20
Justin Anderson,Dallas Mavericks,2015,1,21
Bobby Portis,Chicago Bulls,2015,1,22
Rondae Hollis-Jefferson,Portland Trail Blazers,2015,1,23
Tyus Jones,Cleveland Cavaliers,2015,1,24
Jarell Martin,Memphis Grizzlies,2015,1,25
Nikola Milutinov,San Antonio Spurs,2015,1,26
Larry Nance Jr.,Los Angeles Lakers,2015,1,27
RJ Hunter,Boston Celtics,2015,1,28
Chris McCullough,Brooklyn Nets,2015,1,29
Kevon Looney,Golden State Warriors,2015,1,30
Cedi Osman,Minnesota Timberwolves,2015,2,1
Montrezl Harrell,Houston Rockets,2015,2,2
Jordan Mickey,Boston Celtics,2015,2,3
Anthony Brown,Los Angeles Lakers,2015,2,4
Willy Hernangomez,Philadelphia 76ers,2015,2,5
Rakeem Christmas,Minnesota Timberwolves,2015,2,6
Richaun Holmes,Philadelphia 76ers,2015,2,7
Darrun Hilliard,Detroit Pistons,2015,2,8
Juan Pablo Vaulet,Charlotte Hornets,2015,2,9
Josh Richardson,Miami Heat,2015,2,10
Pat Connaughton,Brooklyn Nets,2015,2,11
Olivier Hanlan,Utah Jazz,2015,2,12
Joe Young,Indiana Pacers,2015,2,13
Andrew Harrison,Phoenix Suns,2015,2,14
Marcus Thornton,Boston Celtics,2015,2,15
Norman Powell,Milwaukee Bucks,2015,2,16
Arturas Gudaitis,Philadelphia 76ers,2015,2,17
Dakari Johnson,Oklahoma City Thunder,2015,2,18
Aaron White,Washington Wizards,2015,2,19
Marcus Eriksson,Atlanta Hawks,2015,2,20
Andrew Wiggins,Cleveland Cavaliers,2014,1,1
Jabari Parker,Milwaukee Bucks,2014,1,2
Joel Embiid,Philadelphia 76ers,2014,1,3
Aaron Gordon,Orlando Magic,2014,1,4
Danté Exum,Utah Jazz,2014,1,5
Marcus Smart,Boston Celtics,2014,1,6
Julius Randle,Los Angeles Lakers,2014,1,7
Nik Stauskas,Sacramento Kings,2014,1,8
Noah Vonleh,Charlotte Hornets,2014,1,9
Elfrid Payton,Philadelphia 76ers,2014,1,10
Doug McDermott,Denver Nuggets,2014,1,11
Dario Šarić,Orlando Magic,2014,1,12
Zach LaVine,Minnesota Timberwolves,2014,1,13
T.J. Warren,Phoenix Suns,2014,1,14
Adreian Payne,Atlanta Hawks,2014,1,15
Jusuf Nurkić,Chicago Bulls,2014,1,16
James Young,Boston Celtics,2014,1,17
Tyler Ennis,Phoenix Suns,2014,1,18
Gary Harris,Chicago Bulls,2014,1,19
Bruno Caboclo,Toronto Raptors,2014,1,20
Mitch McGary,Oklahoma City Thunder,2014,1,21
Jordan Adams,Memphis Grizzlies,2014,1,22
Rodney Hood,Utah Jazz,2014,1,23
Shabazz Napier,Charlotte Hornets,2014,1,24
Clint Capela,Houston Rockets,2014,1,25
PJ Hairston,Miami Heat,2014,1,26
Bogdan Bogdanović,Phoenix Suns,2014,1,27
C.J. Wilcox,Los Angeles Clippers,2014,1,28
Josh Huestis,Oklahoma City Thunder,2014,1,29
Kyle Anderson,San Antonio Spurs,2014,1,30
Damien Inglis,Milwaukee Bucks,2014,2,1
KJ McDaniels,Philadelphia 76ers,2014,2,2
Joe Harris,Cleveland Cavaliers,2014,2,3
Cleanthony Early,New York Knicks,2014,2,4
Jarnell Stokes,Utah Jazz,2014,2,5
Johnny O'Bryant III,Milwaukee Bucks,2014,2,6
DeAndre Daniels,Toronto Raptors,2014,2,7
Spencer Dinwiddie,Detroit Pistons,2014,2,8
Jerami Grant,Philadelphia 76ers,2014,2,9
Glenn Robinson III,Minnesota Timberwolves,2014,2,10
Nikola Jokić,Denver Nuggets,2014,2,11
Nick Johnson,Houston Rockets,2014,2,12
